"filename", "language", "C++", "JSON", "Markdown", "Dart", "YAML", "Swift", "XML", "HTML", "PHP", "JavaScript", "CSS", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 13
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\pubspec.yaml", "YAML", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 14, 113
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\test\widget_test.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 31
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 16, 6, 59
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 499, 8258, 49, 3994, 47, 41, 497, 37, 1558, 22, 1, 8, 90, 13, 1541, 954, 17609
